[120, 4.423, -3.938, 1.205]
[121, 4.423, -3.938, 1.205]
[121, 4.446, -3.938, 1.205]
[121, 4.446, -3.966, 1.205]
[121, 4.446, -3.966, 1.334]
[122, 4.446, -3.966, 1.334]
[122, 4.482, -3.966, 1.334]
[122, 4.482, -4.031, 1.334]
[122, 4.482, -4.031, 1.349]
[123, 4.482, -4.031, 1.349]
[123, 4.504, -4.031, 1.349]
[123, 4.504, -4.161, 1.349]
[123, 4.504, -4.161, 1.197]
[124, 4.504, -4.161, 1.197]
[124, 4.579, -4.161, 1.197]
[124, 4.579, -4.160, 1.197]
[124, 4.579, -4.160, 1.247]
[125, 4.579, -4.160, 1.247]
[125, 4.573, -4.160, 1.247]
[125, 4.573, -3.933, 1.247]
[125, 4.573, -3.933, 2.048]
[126, 4.573, -3.933, 2.048]
[131, 4.573, -3.933, 2.048]
[131, 4.604, -3.933, 2.048]
[131, 4.604, -4.421, 2.048]
[131, 4.604, -4.421, 1.150]
[132, 4.604, -4.421, 1.150]
[132, 4.649, -4.421, 1.150]
[132, 4.649, -4.363, 1.150]
[132, 4.649, -4.363, 1.518]
[133, 4.649, -4.363, 1.518]
[133, 4.639, -4.363, 1.518]
[133, 4.639, -4.549, 1.518]
[133, 4.639, -4.549, 1.255]
[134, 4.639, -4.549, 1.255]
[134, 4.668, -4.549, 1.255]
[134, 4.668, -4.599, 1.255]
[134, 4.668, -4.599, 1.200]
[135, 4.668, -4.599, 1.200]
[135, 4.667, -4.599, 1.200]
[135, 4.667, -4.701, 1.200]
[135, 4.667, -4.701, 1.228]
[136, 4.667, -4.701, 1.228]
[136, 4.739, -4.701, 1.228]
[136, 4.739, -4.718, 1.228]
[136, 4.739, -4.718, 1.376]
[137, 4.739, -4.718, 1.376]
[137, 4.707, -4.718, 1.376]
[137, 4.707, -4.937, 1.376]
[137, 4.707, -4.937, 0.792]
[138, 4.707, -4.937, 0.792]
[138, 4.585, -4.937, 0.792]
[138, 4.585, -5.036, 0.792]
[138, 4.585, -5.036, 0.950]
[139, 4.585, -5.036, 0.950]
[139, 5.016, -5.036, 0.950]
[139, 5.016, -4.721, 0.950]
[139, 5.016, -4.721, 1.359]
[140, 5.016, -4.721, 1.359]
[140, 4.734, -4.721, 1.359]
[140, 4.734, -5.072, 1.359]
[140, 4.734, -5.072, 1.232]
[141, 4.734, -5.072, 1.232]
[141, 4.809, -5.072, 1.232]
[141, 4.809, -5.136, 1.232]
[141, 4.809, -5.136, 1.140]
[142, 4.809, -5.136, 1.140]
[142, 4.810, -5.136, 1.140]
[142, 4.810, -5.204, 1.140]
[142, 4.810, -5.204, 1.178]
[143, 4.810, -5.204, 1.178]
[143, 4.811, -5.204, 1.178]
[143, 4.811, -5.287, 1.178]
[143, 4.811, -5.287, 1.338]
[144, 4.811, -5.287, 1.338]
[144, 4.752, -5.287, 1.338]
[144, 4.752, -5.466, 1.338]
[144, 4.752, -5.466, 0.886]
[145, 4.752, -5.466, 0.886]
[146, 4.752, -5.466, 0.886]
[146, 4.862, -5.466, 0.886]
[146, 4.862, -5.539, 0.886]
[146, 4.862, -5.539, 1.323]
[147, 4.862, -5.539, 1.323]
[147, 4.881, -5.539, 1.323]
[147, 4.881, -5.617, 1.323]
[147, 4.881, -5.617, 1.345]
[148, 4.881, -5.617, 1.345]
[148, 4.881, -5.671, 1.345]
[148, 4.881, -5.671, 1.215]
[149, 4.881, -5.671, 1.215]
[149, 4.871, -5.671, 1.215]
[149, 4.871, -5.806, 1.215]
[149, 4.871, -5.806, 0.975]
[150, 4.871, -5.806, 0.975]
[150, 4.820, -5.806, 0.975]
[150, 4.820, -5.908, 0.975]
[150, 4.820, -5.908, 0.893]
[151, 4.820, -5.908, 0.893]
[151, 4.883, -5.908, 0.893]
[151, 4.883, -5.909, 0.893]
[151, 4.883, -5.909, 0.805]
[152, 4.883, -5.909, 0.805]
[152, 4.977, -5.909, 0.805]
[152, 4.977, -6.028, 0.805]
[152, 4.977, -6.028, 0.978]
[153, 4.977, -6.028, 0.978]
[153, 4.923, -6.028, 0.978]
[153, 4.923, -6.133, 0.978]
[153, 4.923, -6.133, 0.669]
[154, 4.923, -6.133, 0.669]
[155, 4.923, -6.133, 0.669]
[156, 4.923, -6.133, 0.669]
[156, 5.000, -6.133, 0.669]
[156, 5.000, -6.285, 0.669]
[156, 5.000, -6.285, 1.374]
[157, 5.000, -6.285, 1.374]
[158, 5.000, -6.285, 1.374]
[158, 5.008, -6.285, 1.374]
[158, 5.008, -6.536, 1.374]
[158, 5.008, -6.536, 1.005]
[159, 5.008, -6.536, 1.005]
[159, 5.028, -6.536, 1.005]
[159, 5.028, -6.614, 1.005]
[159, 5.028, -6.614, 1.089]
[160, 5.028, -6.614, 1.089]
[160, 5.048, -6.614, 1.089]
[160, 5.048, -6.717, 1.089]
[160, 5.048, -6.717, 1.093]
[161, 5.048, -6.717, 1.093]
[161, 5.043, -6.717, 1.093]
[161, 5.043, -6.790, 1.093]
[161, 5.043, -6.790, 1.064]
[162, 5.043, -6.790, 1.064]
[162, 5.071, -6.790, 1.064]
[162, 5.071, -6.824, 1.064]
[162, 5.071, -6.824, 1.478]
[163, 5.071, -6.824, 1.478]
[164, 5.071, -6.824, 1.478]
[164, 5.046, -6.824, 1.478]
[164, 5.046, -7.070, 1.478]
[164, 5.046, -7.070, 1.074]
[165, 5.046, -7.070, 1.074]
[165, 5.073, -7.070, 1.074]
[165, 5.073, -7.184, 1.074]
[165, 5.073, -7.184, 0.969]
[166, 5.073, -7.184, 0.969]
[166, 5.087, -7.184, 0.969]
[166, 5.087, -7.333, 0.969]
[166, 5.087, -7.333, 1.194]
[167, 5.087, -7.333, 1.194]
[167, 5.144, -7.333, 1.194]
[167, 5.144, -7.448, 1.194]
[167, 5.144, -7.448, 1.589]
[168, 5.144, -7.448, 1.589]
[168, 5.119, -7.448, 1.589]
[168, 5.119, -7.666, 1.589]
[168, 5.119, -7.666, 0.936]
[169, 5.119, -7.666, 0.936]
[169, 5.209, -7.666, 0.936]
[169, 5.209, -7.642, 0.936]
[169, 5.209, -7.642, 1.273]
[170, 5.209, -7.642, 1.273]
[170, 5.186, -7.642, 1.273]
[170, 5.186, -7.777, 1.273]
[170, 5.186, -7.777, 1.271]
[171, 5.186, -7.777, 1.271]
[171, 5.102, -7.777, 1.271]
[171, 5.102, -7.842, 1.271]
[171, 5.102, -7.842, 1.317]
[172, 5.102, -7.842, 1.317]
[172, 5.133, -7.842, 1.317]
[172, 5.133, -7.990, 1.317]
[172, 5.133, -7.990, 1.296]
[173, 5.133, -7.990, 1.296]
[173, 5.171, -7.990, 1.296]
[173, 5.171, -8.080, 1.296]
[173, 5.171, -8.080, 1.300]
[174, 5.171, -8.080, 1.300]
[174, 5.231, -8.080, 1.300]
[174, 5.231, -8.150, 1.300]
[174, 5.231, -8.150, 1.299]
[175, 5.231, -8.150, 1.299]
[175, 5.234, -8.150, 1.299]
[175, 5.234, -8.243, 1.299]
[175, 5.234, -8.243, 1.308]
[176, 5.234, -8.243, 1.308]
[176, 5.250, -8.243, 1.308]
[176, 5.250, -8.344, 1.308]
[176, 5.250, -8.344, 1.292]
[177, 5.250, -8.344, 1.292]
[177, 5.265, -8.344, 1.292]
[177, 5.265, -8.426, 1.292]
[177, 5.265, -8.426, 1.276]
[178, 5.265, -8.426, 1.276]
[178, 5.259, -8.426, 1.276]
[178, 5.259, -8.515, 1.276]
[178, 5.259, -8.515, 1.247]
[179, 5.259, -8.515, 1.247]
[179, 5.285, -8.515, 1.247]
[179, 5.285, -8.693, 1.247]
[179, 5.285, -8.693, 1.503]
[184, 5.285, -8.693, 1.503]
[184, 5.234, -8.693, 1.503]
[184, 5.234, -8.764, 1.503]
[184, 5.234, -8.764, 1.475]
[185, 5.234, -8.764, 1.475]
[185, 5.251, -8.764, 1.475]
[185, 5.251, -8.862, 1.475]
[185, 5.251, -8.862, 1.454]
[186, 5.251, -8.862, 1.454]
[186, 5.264, -8.862, 1.454]
[186, 5.264, -8.833, 1.454]
[186, 5.264, -8.833, 1.428]
[187, 5.264, -8.833, 1.428]
[187, 5.308, -8.833, 1.428]
[187, 5.308, -8.788, 1.428]
[187, 5.308, -8.788, 1.297]
[188, 5.308, -8.788, 1.297]
[188, 5.317, -8.788, 1.297]
[188, 5.317, -8.816, 1.297]
[188, 5.317, -8.816, 1.307]
[189, 5.317, -8.816, 1.307]
[189, 5.330, -8.816, 1.307]
[189, 5.330, -8.835, 1.307]
[189, 5.330, -8.835, 1.327]
[190, 5.330, -8.835, 1.327]
[190, 5.231, -8.835, 1.327]
[190, 5.231, -8.920, 1.327]
[190, 5.231, -8.920, 0.943]
[191, 5.231, -8.920, 0.943]
[191, 5.354, -8.920, 0.943]
[191, 5.354, -8.912, 0.943]
[191, 5.354, -8.912, 1.547]
[192, 5.354, -8.912, 1.547]
[192, 5.387, -8.912, 1.547]
[192, 5.387, -8.825, 1.547]
[192, 5.387, -8.825, 1.462]
[193, 5.387, -8.825, 1.462]
[193, 5.359, -8.825, 1.462]
[193, 5.359, -8.858, 1.462]
[193, 5.359, -8.858, 1.379]
[194, 5.359, -8.858, 1.379]
[194, 5.363, -8.858, 1.379]
[194, 5.363, -8.867, 1.379]
[194, 5.363, -8.867, 1.375]
[195, 5.363, -8.867, 1.375]
[195, 5.346, -8.867, 1.375]
[195, 5.346, -8.897, 1.375]
[195, 5.346, -8.897, 1.364]
[196, 5.346, -8.897, 1.364]
[196, 5.383, -8.897, 1.364]
[196, 5.383, -8.819, 1.364]
[196, 5.383, -8.819, 1.276]
[197, 5.383, -8.819, 1.276]
[197, 5.358, -8.819, 1.276]
[197, 5.358, -8.895, 1.276]
[197, 5.358, -8.895, 1.429]
[198, 5.358, -8.895, 1.429]
[198, 5.365, -8.895, 1.429]
[198, 5.365, -9.006, 1.429]
[198, 5.365, -9.006, 1.632]
[199, 5.365, -9.006, 1.632]
[199, 5.271, -9.006, 1.632]
[199, 5.271, -9.013, 1.632]
[199, 5.271, -9.013, 1.317]
[200, 5.271, -9.013, 1.317]
[200, 5.325, -9.013, 1.317]
[200, 5.325, -8.969, 1.317]
[200, 5.325, -8.969, 1.631]
[201, 5.325, -8.969, 1.631]
[201, 5.308, -8.969, 1.631]
[201, 5.308, -9.013, 1.631]
[201, 5.308, -9.013, 1.616]
[202, 5.308, -9.013, 1.616]
[202, 5.335, -9.013, 1.616]
[202, 5.335, -9.000, 1.616]
[202, 5.335, -9.000, 1.773]
[203, 5.335, -9.000, 1.773]
[204, 5.335, -9.000, 1.773]
[204, 5.442, -9.000, 1.773]
[204, 5.442, -8.921, 1.773]
[204, 5.442, -8.921, 2.126]
[205, 5.442, -8.921, 2.126]
[205, 5.472, -8.921, 2.126]
[205, 5.472, -8.898, 2.126]
[205, 5.472, -8.898, 2.265]
[206, 5.472, -8.898, 2.265]
[206, 5.434, -8.898, 2.265]
[206, 5.434, -8.948, 2.265]
[206, 5.434, -8.948, 2.294]
[207, 5.434, -8.948, 2.294]
[207, 5.438, -8.948, 2.294]
[207, 5.438, -8.946, 2.294]
[207, 5.438, -8.946, 2.327]
[208, 5.438, -8.946, 2.327]
[208, 5.437, -8.946, 2.327]
[208, 5.437, -8.940, 2.327]
[208, 5.437, -8.940, 2.337]
[209, 5.437, -8.940, 2.337]
[209, 5.457, -8.940, 2.337]
[209, 5.457, -8.913, 2.337]
[209, 5.457, -8.913, 2.388]
[210, 5.457, -8.913, 2.388]
[210, 5.320, -8.913, 2.388]
[210, 5.320, -9.040, 2.388]
[210, 5.320, -9.040, 2.115]
[211, 5.320, -9.040, 2.115]
